Datetime,H
01/01/2017 00:00,99999.0
01/01/2017 01:00,99999.0
01/01/2017 02:00,99999.0
01/01/2017 03:00,99999.0
01/01/2017 04:00,99999.0
01/01/2017 05:00,99999.0
01/01/2017 06:00,99999.0
01/01/2017 07:00,99999.0
01/01/2017 08:00,99999.0
01/01/2017 09:00,99999.0
01/01/2017 10:00,99999.0
01/01/2017 11:00,99999.0
01/01/2017 12:00,99999.0
01/01/2017 13:00,99999.0
01/01/2017 14:00,99999.0
01/01/2017 15:00,99999.0
01/01/2017 16:00,99999.0
01/01/2017 17:00,99999.0
01/01/2017 18:00,99999.0
01/01/2017 19:00,99999.0
01/01/2017 20:00,99999.0
01/01/2017 21:00,99999.0
01/01/2017 22:00,99999.0
01/01/2017 23:00,99999.0
01/02/2017 00:00,18858.64
01/02/2017 01:00,18858.35
01/02/2017 02:00,18856.25
01/02/2017 03:00,18858.54
01/02/2017 04:00,18865.27
01/02/2017 05:00,18863.23
01/02/2017 06:00,18862.46
01/02/2017 07:00,18858.01
01/02/2017 08:00,18856.0
01/02/2017 09:00,18862.52
01/02/2017 10:00,18871.41
01/02/2017 11:00,18874.83
01/02/2017 12:00,18877.78
01/02/2017 13:00,18885.53
01/02/2017 14:00,18888.05
01/02/2017 15:00,18884.41
01/02/2017 16:00,18880.55
01/02/2017 17:00,18883.42
01/02/2017 18:00,18885.82
01/02/2017 19:00,18870.82
01/02/2017 20:00,18856.73
01/02/2017 21:00,18853.21
01/02/2017 22:00,18851.05
01/02/2017 23:00,18857.26
01/03/2017 00:00,18858.97
01/03/2017 01:00,18860.37
01/03/2017 02:00,18863.12
01/03/2017 03:00,18864.79
01/03/2017 04:00,18864.87
01/03/2017 05:00,18868.06
01/03/2017 06:00,18874.86
01/03/2017 07:00,18881.84
01/03/2017 08:00,18879.45
01/03/2017 09:00,18885.29
01/03/2017 10:00,18879.44
01/03/2017 11:00,18879.06
01/03/2017 12:00,18868.08
01/03/2017 13:00,18854.93
01/03/2017 14:00,18867.96
01/03/2017 15:00,18887.75
01/03/2017 16:00,18897.08
01/03/2017 17:00,18891.28
01/03/2017 18:00,47274.23
01/03/2017 19:00,75657.18
01/03/2017 20:00,18848.31
01/03/2017 21:00,18835.75
01/03/2017 22:00,18846.87
01/03/2017 23:00,18851.63
01/04/2017 00:00,18858.84
01/04/2017 01:00,18862.42
01/04/2017 02:00,18865.44
01/04/2017 03:00,20222.41
01/04/2017 04:00,18883.35
01/04/2017 05:00,18878.12
01/04/2017 06:00,18874.74
01/04/2017 07:00,20217.95
01/04/2017 08:00,99999.0
01/04/2017 09:00,99999.0
01/04/2017 10:00,99999.0
01/04/2017 11:00,99999.0
01/04/2017 12:00,36457.57
01/04/2017 13:00,18876.06
01/04/2017 14:00,18886.53
01/04/2017 15:00,18899.09
01/04/2017 16:00,18904.4
01/04/2017 17:00,18915.7
01/04/2017 18:00,18899.39
01/04/2017 19:00,18848.45
01/04/2017 20:00,18830.51
01/04/2017 21:00,18826.91
01/04/2017 22:00,18842.91
01/04/2017 23:00,18841.41
01/05/2017 00:00,45897.41
01/05/2017 01:00,18848.27
01/05/2017 02:00,18845.47
01/05/2017 03:00,18847.16
01/05/2017 04:00,18862.19
01/05/2017 05:00,18871.45
01/05/2017 06:00,98646.77
01/05/2017 07:00,99999.0
01/05/2017 08:00,99999.0
01/05/2017 09:00,82418.0
01/05/2017 10:00,18860.05
01/05/2017 11:00,18867.08
01/05/2017 12:00,18870.86
01/05/2017 13:00,18867.87
01/05/2017 14:00,18885.35
01/05/2017 15:00,18888.98
01/05/2017 16:00,18889.08
01/05/2017 17:00,18887.15
01/05/2017 18:00,18874.45
01/05/2017 19:00,18874.8
01/05/2017 20:00,18863.47
01/05/2017 21:00,18851.53
01/05/2017 22:00,18834.33
01/05/2017 23:00,18823.14
01/06/2017 00:00,18837.32
01/06/2017 01:00,18837.68
01/06/2017 02:00,18847.75
01/06/2017 03:00,18859.79
01/06/2017 04:00,18859.66
01/06/2017 05:00,18859.31
01/06/2017 06:00,18856.02
01/06/2017 07:00,18852.12
01/06/2017 08:00,18852.34
01/06/2017 09:00,18856.43
01/06/2017 10:00,18870.31
01/06/2017 11:00,18873.26
01/06/2017 12:00,18872.88
01/06/2017 13:00,18860.06
01/06/2017 14:00,18857.25
01/06/2017 15:00,18863.93
01/06/2017 16:00,18875.97
01/06/2017 17:00,18876.59
01/06/2017 18:00,43211.2
01/06/2017 19:00,99999.0
01/06/2017 20:00,99999.0
01/06/2017 21:00,99999.0
01/06/2017 22:00,99999.0
01/06/2017 23:00,99999.0
01/07/2017 00:00,99999.0
01/07/2017 01:00,99999.0
01/07/2017 02:00,99999.0
01/07/2017 03:00,99999.0
01/07/2017 04:00,99999.0
01/07/2017 05:00,99999.0
01/07/2017 06:00,99999.0
01/07/2017 07:00,99999.0
01/07/2017 08:00,99999.0
01/07/2017 09:00,99999.0
01/07/2017 10:00,99999.0
01/07/2017 11:00,99999.0
01/07/2017 12:00,99999.0
01/07/2017 13:00,99999.0
01/07/2017 14:00,99999.0
01/07/2017 15:00,99999.0
01/07/2017 16:00,99999.0
01/07/2017 17:00,99999.0
01/07/2017 18:00,99999.0
01/07/2017 19:00,99999.0
01/07/2017 20:00,99999.0
01/07/2017 21:00,99999.0
01/07/2017 22:00,99999.0
01/07/2017 23:00,99999.0
01/08/2017 00:00,18850.94
01/08/2017 01:00,18852.63
01/08/2017 02:00,22912.09
01/08/2017 03:00,99999.0
01/08/2017 04:00,99999.0
01/08/2017 05:00,99999.0
01/08/2017 06:00,99999.0
01/08/2017 07:00,99999.0
01/08/2017 08:00,99999.0
01/08/2017 09:00,99999.0
01/08/2017 10:00,99999.0
01/08/2017 11:00,99999.0
01/08/2017 12:00,49967.33
01/08/2017 13:00,18872.13
01/08/2017 14:00,18878.33
01/08/2017 15:00,18874.94
01/08/2017 16:00,18873.38
01/08/2017 17:00,18873.56
01/08/2017 18:00,24269.69
01/08/2017 19:00,18858.85
01/08/2017 20:00,18854.77
01/08/2017 21:00,18847.27
01/08/2017 22:00,18837.15
01/08/2017 23:00,18835.03
01/09/2017 00:00,18837.41
01/09/2017 01:00,18850.11
01/09/2017 02:00,18846.38
01/09/2017 03:00,18849.42
01/09/2017 04:00,18851.29
01/09/2017 05:00,18851.97
01/09/2017 06:00,18851.87
01/09/2017 07:00,79711.68
01/09/2017 08:00,18848.33
01/09/2017 09:00,18852.37
01/09/2017 10:00,18860.69
01/09/2017 11:00,18862.79
01/09/2017 12:00,18871.03
01/09/2017 13:00,18867.51
01/09/2017 14:00,18862.83
01/09/2017 15:00,18868.1
01/09/2017 16:00,18873.02
01/09/2017 17:00,18880.61
01/09/2017 18:00,18878.05
01/09/2017 19:00,85125.86
01/09/2017 20:00,99999.0
01/09/2017 21:00,99999.0
01/09/2017 22:00,99999.0
01/09/2017 23:00,99999.0
01/10/2017 00:00,99999.0
01/10/2017 01:00,99999.0
01/10/2017 02:00,99999.0
01/10/2017 03:00,99999.0
01/10/2017 04:00,99999.0
01/10/2017 05:00,99999.0
01/10/2017 06:00,99999.0
01/10/2017 07:00,99999.0
01/10/2017 08:00,99999.0
01/10/2017 09:00,99999.0
01/10/2017 10:00,99999.0
01/10/2017 11:00,99999.0
01/10/2017 12:00,99999.0
01/10/2017 13:00,77013.08
01/10/2017 14:00,18876.41
01/10/2017 15:00,18894.09
01/10/2017 16:00,21602.67
01/10/2017 17:00,18884.54
01/10/2017 18:00,18867.51
01/10/2017 19:00,18858.0
01/10/2017 20:00,18845.42
01/10/2017 21:00,18844.44
01/10/2017 22:00,18849.19
01/10/2017 23:00,18850.52
01/11/2017 00:00,18848.06
01/11/2017 01:00,18857.62
01/11/2017 02:00,18857.13
01/11/2017 03:00,18858.78
01/11/2017 04:00,18860.11
01/11/2017 05:00,18860.46
01/11/2017 06:00,18857.87
01/11/2017 07:00,18858.59
01/11/2017 08:00,18856.76
01/11/2017 09:00,18857.12
01/11/2017 10:00,18860.31
01/11/2017 11:00,18865.32
01/11/2017 12:00,18873.19
01/11/2017 13:00,18877.1
01/11/2017 14:00,18873.3
01/11/2017 15:00,18875.02
01/11/2017 16:00,18882.11
01/11/2017 17:00,18878.21
01/11/2017 18:00,18871.91
01/11/2017 19:00,18874.5
01/11/2017 20:00,18868.3
01/11/2017 21:00,18856.54
01/11/2017 22:00,18852.85
01/11/2017 23:00,18853.15
01/12/2017 00:00,18853.69
01/12/2017 01:00,18855.95
01/12/2017 02:00,18858.56
01/12/2017 03:00,18858.57
01/12/2017 04:00,18861.22
01/12/2017 05:00,18861.37
01/12/2017 06:00,18861.46
01/12/2017 07:00,18862.45
01/12/2017 08:00,18865.27
01/12/2017 09:00,18868.42
01/12/2017 10:00,18874.88
01/12/2017 11:00,18878.18
01/12/2017 12:00,18881.3
01/12/2017 13:00,18877.04
01/12/2017 14:00,18873.17
01/12/2017 15:00,18872.22
01/12/2017 16:00,18876.94
01/12/2017 17:00,18888.82
01/12/2017 18:00,18896.81
01/12/2017 19:00,18893.62
01/12/2017 20:00,18886.87
01/12/2017 21:00,18873.81
01/12/2017 22:00,18861.16
01/12/2017 23:00,18860.8
01/13/2017 00:00,18859.8
01/13/2017 01:00,18858.6
01/13/2017 02:00,18861.82
01/13/2017 03:00,18861.96
01/13/2017 04:00,18864.15
01/13/2017 05:00,18868.24
01/13/2017 06:00,18868.36
01/13/2017 07:00,18869.22
01/13/2017 08:00,18868.96
01/13/2017 09:00,18868.83
01/13/2017 10:00,18869.48
01/13/2017 11:00,18867.28
01/13/2017 12:00,18864.28
01/13/2017 13:00,18868.58
01/13/2017 14:00,18878.02
01/13/2017 15:00,18889.5
01/13/2017 16:00,18887.0
01/13/2017 17:00,18884.5
01/13/2017 18:00,18875.28
01/13/2017 19:00,18876.31
01/13/2017 20:00,18876.84
01/13/2017 21:00,18874.72
01/13/2017 22:00,18869.99
01/13/2017 23:00,18868.56
01/14/2017 00:00,18862.87
01/14/2017 01:00,18865.8
01/14/2017 02:00,18866.9
01/14/2017 03:00,18864.74
01/14/2017 04:00,18864.97
01/14/2017 05:00,18861.5
01/14/2017 06:00,18863.99
01/14/2017 07:00,18865.03
01/14/2017 08:00,18869.64
01/14/2017 09:00,18876.99
01/14/2017 10:00,18884.61
01/14/2017 11:00,18879.66
01/14/2017 12:00,18873.88
01/14/2017 13:00,18874.34
01/14/2017 14:00,18874.72
01/14/2017 15:00,18878.94
01/14/2017 16:00,18884.58
01/14/2017 17:00,18880.67
01/14/2017 18:00,18880.74
01/14/2017 19:00,18880.9
01/14/2017 20:00,18881.06
01/14/2017 21:00,18875.46
01/14/2017 22:00,18869.08
01/14/2017 23:00,18865.48
01/15/2017 00:00,20217.7
01/15/2017 01:00,18866.37
01/15/2017 02:00,18865.82
01/15/2017 03:00,18865.78
01/15/2017 04:00,18867.21
01/15/2017 05:00,18869.11
01/15/2017 06:00,21571.35
01/15/2017 07:00,18870.69
01/15/2017 08:00,18870.98
01/15/2017 09:00,18874.36
01/15/2017 10:00,18881.89
01/15/2017 11:00,18885.17
01/15/2017 12:00,20234.79
01/15/2017 13:00,18873.2
01/15/2017 14:00,18866.93
01/15/2017 15:00,20214.84
01/15/2017 16:00,18867.42
01/15/2017 17:00,21571.97
01/15/2017 18:00,20213.42
01/15/2017 19:00,21566.85
01/15/2017 20:00,18862.96
01/15/2017 21:00,18864.66
01/15/2017 22:00,18864.41
01/15/2017 23:00,18860.12
