Datetime,H
01/01/2012 00:00,26955.72
01/01/2012 01:00,26961.21
01/01/2012 02:00,26960.25
01/01/2012 03:00,26959.0
01/01/2012 04:00,26955.8
01/01/2012 05:00,26955.17
01/01/2012 06:00,26957.08
01/01/2012 07:00,26958.02
01/01/2012 08:00,26961.92
01/01/2012 09:00,26963.6
01/01/2012 10:00,26963.06
01/01/2012 11:00,26964.2
01/01/2012 12:00,26962.66
01/01/2012 13:00,26960.45
01/01/2012 14:00,26961.97
01/01/2012 15:00,26956.35
01/01/2012 16:00,26956.63
01/01/2012 17:00,26962.16
01/01/2012 18:00,26961.71
01/01/2012 19:00,26960.29
01/01/2012 20:00,26955.74
01/01/2012 21:00,26954.93
01/01/2012 22:00,26956.71
01/01/2012 23:00,26960.65
01/02/2012 00:00,26962.02
01/02/2012 01:00,26962.37
01/02/2012 02:00,26965.26
01/02/2012 03:00,26965.29
01/02/2012 04:00,26963.65
01/02/2012 05:00,26963.27
01/02/2012 06:00,26963.89
01/02/2012 07:00,26965.88
01/02/2012 08:00,26967.36
01/02/2012 09:00,26968.88
01/02/2012 10:00,26968.36
01/02/2012 11:00,26967.65
01/02/2012 12:00,26965.57
01/02/2012 13:00,26955.66
01/02/2012 14:00,26953.37
01/02/2012 15:00,26951.08
01/02/2012 16:00,26959.98
01/02/2012 17:00,26962.31
01/02/2012 18:00,26966.83
01/02/2012 19:00,26967.95
01/02/2012 20:00,26971.57
01/02/2012 21:00,26972.04
01/02/2012 22:00,26971.78
01/02/2012 23:00,26963.74
01/03/2012 00:00,26950.58
01/03/2012 01:00,26940.37
01/03/2012 02:00,26932.55
01/03/2012 03:00,26928.05
01/03/2012 04:00,26934.55
01/03/2012 05:00,26938.37
01/03/2012 06:00,26939.99
01/03/2012 07:00,26942.45
01/03/2012 08:00,26947.14
01/03/2012 09:00,26953.14
01/03/2012 10:00,26954.19
01/03/2012 11:00,26958.84
01/03/2012 12:00,26963.17
01/03/2012 13:00,26962.67
01/03/2012 14:00,26959.75
01/03/2012 15:00,26951.32
01/03/2012 16:00,26944.25
01/03/2012 17:00,26938.31
01/03/2012 18:00,26938.91
01/03/2012 19:00,26942.4
01/03/2012 20:00,26945.17
01/03/2012 21:00,26946.73
01/03/2012 22:00,26947.72
01/03/2012 23:00,26947.5
01/04/2012 00:00,26945.71
01/04/2012 01:00,26950.14
01/04/2012 02:00,26952.32
01/04/2012 03:00,26953.19
01/04/2012 04:00,26953.21
01/04/2012 05:00,26953.88
01/04/2012 06:00,26955.04
01/04/2012 07:00,26956.45
01/04/2012 08:00,26957.61
01/04/2012 09:00,26958.62
01/04/2012 10:00,26958.54
01/04/2012 11:00,26961.06
01/04/2012 12:00,26960.9
01/04/2012 13:00,26959.34
01/04/2012 14:00,26956.68
01/04/2012 15:00,26948.98
01/04/2012 16:00,26948.32
01/04/2012 17:00,26945.95
01/04/2012 18:00,26948.01
01/04/2012 19:00,26952.2
01/04/2012 20:00,26956.59
01/04/2012 21:00,26963.1
01/04/2012 22:00,26965.28
01/04/2012 23:00,26964.32
01/05/2012 00:00,26962.36
01/05/2012 01:00,26962.7
01/05/2012 02:00,26962.72
01/05/2012 03:00,26962.55
01/05/2012 04:00,26963.62
01/05/2012 05:00,26963.11
01/05/2012 06:00,26963.95
01/05/2012 07:00,26964.32
01/05/2012 08:00,26966.05
01/05/2012 09:00,26966.32
01/05/2012 10:00,26965.43
01/05/2012 11:00,26969.56
01/05/2012 12:00,26975.57
01/05/2012 13:00,26972.7
01/05/2012 14:00,26961.37
01/05/2012 15:00,26958.9
01/05/2012 16:00,26965.87
01/05/2012 17:00,26970.77
01/05/2012 18:00,26965.66
01/05/2012 19:00,26964.62
01/05/2012 20:00,26969.63
01/05/2012 21:00,26972.78
01/05/2012 22:00,26975.07
01/05/2012 23:00,26980.38
01/06/2012 00:00,26975.89
01/06/2012 01:00,26972.26
01/06/2012 02:00,26968.99
01/06/2012 03:00,26966.35
01/06/2012 04:00,26965.01
01/06/2012 05:00,26967.18
