Datetime,H
01/01/2008 00:00,26958.86
01/01/2008 01:00,26958.3
01/01/2008 02:00,26960.88
01/01/2008 03:00,26963.76
01/01/2008 04:00,26964.49
01/01/2008 05:00,26966.26
01/01/2008 06:00,26964.7
01/01/2008 07:00,26963.79
01/01/2008 08:00,26964.83
01/01/2008 09:00,26966.2
01/01/2008 10:00,26967.06
01/01/2008 11:00,26970.65
01/01/2008 12:00,26974.76
01/01/2008 13:00,26970.24
01/01/2008 14:00,26965.55
01/01/2008 15:00,26955.83
01/01/2008 16:00,26947.33
01/01/2008 17:00,26944.58
01/01/2008 18:00,26944.97
01/01/2008 19:00,26953.61
01/01/2008 20:00,26958.6
01/01/2008 21:00,26967.15
01/01/2008 22:00,26970.67
01/01/2008 23:00,26970.76
01/02/2008 00:00,26970.63
01/02/2008 01:00,26968.21
01/02/2008 02:00,26966.55
01/02/2008 03:00,26967.09
01/02/2008 04:00,26969.26
01/02/2008 05:00,26969.62
01/02/2008 06:00,26971.63
01/02/2008 07:00,26973.54
01/02/2008 08:00,26974.06
01/02/2008 09:00,26978.62
01/02/2008 10:00,26979.53
01/02/2008 11:00,26979.66
01/02/2008 12:00,26977.52
01/02/2008 13:00,26972.32
01/02/2008 14:00,26968.27
01/02/2008 15:00,26966.77
01/02/2008 16:00,26962.73
01/02/2008 17:00,26963.04
01/02/2008 18:00,26965.94
01/02/2008 19:00,26969.83
01/02/2008 20:00,26972.47
01/02/2008 21:00,26974.77
01/02/2008 22:00,26975.79
01/02/2008 23:00,26970.84
01/03/2008 00:00,26969.18
01/03/2008 01:00,26967.4
01/03/2008 02:00,26967.08
01/03/2008 03:00,26967.37
01/03/2008 04:00,26968.05
01/03/2008 05:00,26968.35
01/03/2008 06:00,26968.32
01/03/2008 07:00,26968.28
01/03/2008 08:00,26971.22
01/03/2008 09:00,26973.97
01/03/2008 10:00,26975.59
01/03/2008 11:00,26979.43
01/03/2008 12:00,26979.59
01/03/2008 13:00,26974.47
01/03/2008 14:00,26972.8
01/03/2008 15:00,26971.29
01/03/2008 16:00,26972.18
01/03/2008 17:00,26971.59
01/03/2008 18:00,26968.81
